Month,GMT,RNXO,RO3,RPM25,RSO2
1.6.18,14:00,96.08666667,1847,10.65,3.023333333
1.12.17,18:00,185.0451613,242,11.80322581,5.864516129
1.12.12,09:00,231.5548387,570,14.85806452,4.983870968
1.7.14,12:00,135.4806452,1590,13.07741935,3.874193548
1.9.14,05:00,175.6666667,1961,28.59333333,4.46
1.6.10,08:00,151.96,869,19.16333333,5.56
1.7.12,14:00,142.8193548,1733,13.3516129,2.274193548
1.9.12,17:00,153.92,1261,11.39,2.763333333
1.12.12,00:00,140.583871,976,14.07096774,3.351612903
1.7.17,15:00,121.6322581,1586,10.02580645,0.980645161
1.3.18,16:00,125.1774194,1374,13.96451613,3.922580645
1.10.13,02:00,62.98387097,959,11.18387097,2.209677419
1.4.12,12:00,146.29,1849,12.06333333,2.723333333
1.2.11,02:00,58.08571429,1292,22.44642857,1.789285714
1.8.15,22:00,100.9870968,930,13.48387097,0.364516129
1.7.12,03:00,66.23225806,835,11.30322581,1.322580645
1.1.17,08:00,333.9387097,1933,23.21612903,10.49032258
1.10.15,18:00,204.4516129,176,20.99354839,0.22
1.2.18,15:00,126.8178571,1350,9.489285714,3.557142857
1.2.12,11:00,205.6275862,625,23.00344828,4.368965517
1.9.10,14:00,139.1133333,1173,14.01,4.106666667
1.4.18,05:00,116.7733333,778,19.19,2.183333333
1.7.14,21:00,90.41290323,1186,13.06451613,2.770967742
1.7.13,03:00,60.09354839,994,14.63225806,1.780645161
1.12.13,16:00,218.8903226,425,16.64193548,3.370967742
1.9.14,01:00,78.47,488,26.68666667,3.12
1.8.16,05:00,129.3516129,200,12.40645161,2.538709677
1.2.15,12:00,187.6321429,949,14.33928571,6.135714286
1.5.16,04:00,88.1,1251,14.02096774,3.659677419
1.2.13,00:00,108.6107143,1306,21.01428571,3.25
1.3.12,11:00,201.5709677,916,29.80645161,4.958064516
1.5.12,12:00,148.5193548,1862,18.29677419,2.648387097
1.2.10,08:00,203.5357143,286,20.825,5.328571429
1.10.17,01:00,56.61290323,1151,8.706451613,0.935483871
1.9.11,02:00,68.09,878,12.95333333,1.176666667
1.6.18,13:00,95.97,1817,10.27,2.920689655
1.4.10,20:00,116.1766667,1404,19.98,4.436666667
1.12.17,20:00,150.3354839,373,12.57419355,5.796774194
1.11.15,20:00,137.5833333,817,14.77333333,2.886666667
1.4.18,20:00,95.85,1342,19.95333333,0.876666667
1.7.14,10:00,138.1290323,1196,13.0483871,4.061290323
1.10.17,05:00,124.9677419,491,9.129032258,1.938709677
1.10.13,11:00,163.2870968,768,11.92258065,3.661290323
1.9.14,00:00,91.89666667,514,27.33666667,3.493333333
1.11.14,18:00,266.837931,1938,22.80344828,3.703448276
1.3.16,22:00,134.7548387,1055,19.57419355,3.174193548
1.12.12,12:00,209.7290323,773,14.06451613,4.829032258
1.4.13,18:00,129.5933333,1869,16.94333333,2.113333333
1.9.16,17:00,169.5433333,1037,12.99,1.986666667
1.4.12,04:00,92.57666667,1603,13.76333333,1.693333333
1.11.10,11:00,206.1366667,262,18.96666667,5.15
1.8.15,04:00,89.17419355,551,12.73548387,0.061290323
1.9.14,16:00,164.4133333,1345,21.12666667,7.3
1.7.11,18:00,119.6258065,1720,12.80967742,2.480645161
1.8.14,22:00,92.38709677,928,10.70645161,2.64516129
1.9.10,12:00,136.9333333,1128,14.38666667,4.373333333
1.2.12,07:00,263.3758621,41,23.50689655,4.24137931
1.8.18,17:00,97.93225806,1389,7.935483871,1.687096774
1.1.12,09:00,256.2774194,219,17.70967742,4.306451613
1.9.12,10:00,160.6766667,1080,11.62666667,4
1.8.12,03:00,73.35483871,558,13.13870968,1.661290323
1.5.16,09:00,143.683871,1605,13.05322581,4.582258065
1.9.16,15:00,160.7633333,1296,11.77333333,2.283333333
1.3.18,13:00,120.9064516,1480,14.40645161,3.922580645
1.12.17,14:00,162.4645161,594,9.741935484,5.79
1.4.11,11:00,132.2933333,1840,24.14,3.813333333
1.1.14,08:00,251.5580645,361,11.55806452,2.95483871
1.10.13,06:00,207.2354839,177,13.66774194,4.003225806
1.9.13,22:00,132.3266667,54,18.93,2.263333333
1.3.11,09:00,233.9870968,386,35.65806452,5.54516129
1.7.11,10:00,131.1870968,1502,12.37419355,2.890322581
1.11.10,02:00,104.62,593,22.20666667,2.913333333
1.3.17,04:00,63.7483871,1593,11.57419355,2.206451613
1.3.14,14:00,153.5193548,1620,18.65483871,2.874193548
1.1.17,01:00,169.8419355,223,24.56451613,7.95483871
1.6.18,04:00,59.24666667,1024,10.28333333,2.583333333
1.3.18,22:00,107.7096774,993,15.84193548,3.648387097
1.11.11,02:00,98.21666667,100,23.80666667,2.44
1.4.12,05:00,156.31,1112,15.68333333,2.23
1.11.14,10:00,265.8,108,20.35172414,4.348275862
1.1.11,21:00,132.3290323,510,18.32580645,3.109677419
1.12.10,18:00,217.183871,1962,24.03548387,4.293548387
1.6.16,17:00,136.4816667,1676,13.85833333,6.128333333
1.7.12,10:00,152.9290323,1253,13.97096774,2.812903226
1.7.16,22:00,94.63870968,600,11.56774194,2.209677419
1.12.18,11:00,152.2419355,646,11.54516129,2.843478261
1.2.10,20:00,151.0785714,413,19.20357143,4.457142857
1.5.15,08:00,148.9064516,1594,10.50967742,3.938709677
1.5.18,06:00,147.9387097,953,21.13548387,1.903333333
1.10.11,02:00,81.52903226,1003,12.98387097,1.970967742
1.5.15,22:00,92.86774194,1662,10.95806452,2.870967742
1.4.12,00:00,73.2,1756,12.95,1.603333333
1.6.17,03:00,52.89333333,1086,10.23,1.616666667
1.1.16,23:00,136.4903226,1100,13.42580645,3.419354839
