Month,GMT,RNXO,RO3,RPM25,RSO2,AQI
1.5.10,14:00,117.3290323,44.9,14.32258065,4.261290323,137.3290323
1.5.10,15:00,114.3935484,45.83225806,15.07096774,4.161290323,134.3935484
1.5.10,16:00,113.1645161,46.5,15.53225806,4.061290323,133.1645161
1.5.10,17:00,116.2419355,45.13225806,15.20967742,4.164516129,136.2419355
1.5.10,18:00,110.4677419,42.31612903,15.03548387,4.074193548,130.4677419
1.5.10,19:00,101.8709677,37.53870968,15.67096774,4.1,121.8709677
1.5.10,20:00,102.3387097,33.05806452,17.00322581,3.767741935,122.3387097
1.5.10,21:00,106.4032258,30.85483871,16.95806452,3.45483871,126.4032258
1.5.10,22:00,103.9483871,29.69677419,16.32903226,3.367741935,123.9483871
1.5.10,23:00,98,28.73870968,16.79032258,3.141935484,118
1.6.10,0:00,74.50333333,26.55,17.24,3.523333333,125.6291667
1.6.10,1:00,67.68,27.55,16.89666667,3.383333333,117.1
1.6.10,2:00,61.60333333,28.07666667,16.80666667,3.02,109.5041667
1.6.10,3:00,66.36666667,25.13333333,17.31,3.186666667,115.4583333
1.6.10,4:00,91.34,20.8,18.00333333,3.5,111.34
1.6.10,5:00,133.7666667,18.36666667,20.13333333,3.963333333,153.7666667
1.6.10,6:00,163.6666667,18.61666667,21.02,4.603333333,183.6666667
1.6.10,7:00,159.6166667,21.38666667,20.53,5.243333333,179.6166667
1.6.10,8:00,151.96,25.07666667,19.16333333,5.56,171.96
1.6.10,9:00,138.6666667,29.78333333,17.51333333,5.47,158.6666667
1.6.10,10:00,130.8833333,33.71,16.36333333,5.4,150.8833333
1.6.10,11:00,127.0033333,38.06666667,16.18,5.166666667,147.0033333
1.6.10,12:00,123.5566667,42.60666667,16.45333333,5.036666667,143.5566667
1.6.10,13:00,117.6766667,47.39666667,15.97333333,5.06,137.6766667
1.6.10,14:00,116.56,49.03666667,16.12666667,4.95,136.56
1.6.10,15:00,112.7,49.81666667,16.63,5.013333333,132.7
1.6.10,16:00,111.1233333,49.10666667,16.49,4.7,131.1233333
1.6.10,17:00,109.0333333,47.9,16.33333333,4.6,129.0333333
1.6.10,18:00,103.5333333,45.96666667,16.44333333,4.69,123.5333333
1.6.10,19:00,93.91333333,43.64666667,16.73666667,4.526666667,113.9133333
1.6.10,20:00,91.75666667,37.81666667,17.04,3.863333333,111.7566667
1.6.10,21:00,93.97333333,32.95333333,17.55666667,3.836666667,113.9733333
1.6.10,22:00,91.85,29.76,17.8,3.843333333,111.85
1.6.10,23:00,85.66666667,27.11,17.86333333,3.81,105.6666667
1.7.10,0:00,62.27741935,27.10322581,11.55483871,2.606451613,110.3467742
1.7.10,1:00,52.83225806,27.4516129,11.60967742,2.522580645,98.54032258
1.7.10,2:00,50.55483871,27.5483871,11.0516129,2.432258065,95.69354839
